Date,Open,High,Low,Close,Adj Close,Volume
2017-01-20,12.58,12.59,11.53,11.54,11.54,0
2017-01-23,12.30,12.62,11.59,11.77,11.77,0
2017-01-24,11.82,11.89,11.04,11.07,11.07,0
2017-01-25,10.79,11.05,10.51,10.81,10.81,0
2017-01-26,10.61,11.01,10.60,10.63,10.63,0
2017-01-27,10.57,10.82,10.30,10.58,10.58,0
2017-01-30,11.10,12.90,11.10,11.88,11.88,0
2017-01-31,12.29,12.99,11.79,11.99,11.99,0
2017-02-01,11.79,12.05,9.97,11.81,11.81,0
2017-02-02,12.37,12.47,11.62,11.93,11.93,0
2017-02-03,11.84,11.84,10.72,10.97,10.97,0
2017-02-06,11.37,11.84,11.09,11.37,11.37,0
2017-02-07,11.39,11.67,11.06,11.29,11.29,0
2017-02-08,11.19,11.82,11.15,11.45,11.45,0
2017-02-09,11.44,11.53,10.74,10.88,10.88,0
2017-02-10,10.85,10.95,10.55,10.85,10.85,0
2017-02-13,11.36,11.40,11.07,11.07,11.07,0
2017-02-14,11.17,11.34,10.73,10.74,10.74,0
2017-02-15,10.84,12.01,10.80,11.97,11.97,0
2017-02-16,12.02,12.86,11.69,11.76,11.76,0
2017-02-17,11.84,12.26,11.37,11.49,11.49,0
2017-02-21,12.05,12.09,11.50,11.57,11.57,0
2017-02-22,11.48,12.07,11.44,11.74,11.74,0
2017-02-23,11.66,12.46,11.54,11.71,11.71,0
2017-02-24,11.81,12.59,11.34,11.47,11.47,0
2017-02-27,11.78,12.14,11.53,12.09,12.09,0
2017-02-28,12.19,12.96,12.13,12.92,12.92,0
2017-03-01,12.31,12.58,11.78,12.54,12.54,0
2017-03-02,12.43,12.71,11.32,11.81,11.81,0
2017-03-03,11.96,11.97,10.94,10.96,10.96,0
2017-03-06,11.59,11.72,11.06,11.24,11.24,0
2017-03-07,11.27,11.58,11.04,11.45,11.45,0
2017-03-08,11.49,11.86,11.09,11.86,11.86,0
2017-03-09,11.75,12.43,11.62,12.30,12.30,0
2017-03-10,11.97,12.09,11.46,11.66,11.66,0
2017-03-13,12.16,12.23,11.29,11.35,11.35,0
2017-03-14,11.39,12.54,11.28,12.30,12.30,0
2017-03-15,12.12,12.25,10.60,11.63,11.63,0
2017-03-16,11.29,11.55,11.16,11.21,11.21,0
2017-03-17,11.38,11.38,10.78,11.28,11.28,0
2017-03-20,11.71,11.72,11.03,11.34,11.34,0
2017-03-21,11.15,12.85,10.92,12.47,12.47,0
2017-03-22,12.95,13.16,11.99,12.81,12.81,0
2017-03-23,12.65,13.17,12.18,13.12,13.12,0
2017-03-24,12.86,14.16,12.27,12.96,12.96,0
2017-03-27,14.78,15.11,12.48,12.50,12.50,0
2017-03-28,12.44,12.67,11.34,11.53,11.53,0
2017-03-29,11.54,11.70,11.03,11.42,11.42,0
2017-03-30,11.37,11.64,11.12,11.54,11.54,0
2017-03-31,11.61,12.54,11.50,12.37,12.37,0
2017-04-03,12.59,13.59,12.27,12.38,12.38,0
2017-04-04,12.71,13.07,11.70,11.79,11.79,0
2017-04-05,11.89,12.89,10.90,12.89,12.89,0
2017-04-06,13.11,13.22,11.70,12.39,12.39,0
2017-04-07,13.17,13.43,12.23,12.87,12.87,0
2017-04-10,13.24,14.11,12.94,14.05,14.05,0
2017-04-11,14.32,15.88,14.17,15.07,15.07,0
2017-04-12,15.16,16.16,14.84,15.77,15.77,0
2017-04-13,15.89,16.22,14.97,15.96,15.96,0
2017-04-17,16.19,16.28,14.60,14.66,14.66,0
2017-04-18,14.50,15.50,14.29,14.42,14.42,0
2017-04-19,14.00,15.15,13.46,14.93,14.93,0
2017-04-20,14.59,14.81,13.83,14.15,14.15,0
2017-04-21,13.85,15.33,13.85,14.63,14.63,0
2017-04-24,11.56,12.01,10.82,10.84,10.84,0
2017-04-25,10.81,11.15,10.22,10.76,10.76,0
2017-04-26,10.61,10.89,10.39,10.85,10.85,0
2017-04-27,10.72,11.08,10.33,10.36,10.36,0
2017-04-28,10.39,11.16,10.29,10.82,10.82,0
