Date,Open,High,Low,Close*,Adj Close**, Volume 
2021-01-08,31069.58,31140.67,30793.27,31097.97,31097.97,381150000
2021-01-07,30901.18,31193.40,30897.86,31041.13,31041.13,427810000
2021-01-06,30362.78,31022.65,30313.07,30829.40,30829.40,500430000
2021-01-05,30204.25,30504.89,30141.78,30391.60,30391.60,350910000
2021-01-04,30627.47,30674.28,29881.82,30223.89,30223.89,475080000
2020-12-31,30417.64,30637.47,30344.50,30606.48,30606.48,284470000
2020-12-30,30415.09,30525.35,30393.04,30409.56,30409.56,291890000
2020-12-29,30492.07,30588.79,30274.24,30335.67,30335.67,357610000
2020-12-28,30283.23,30525.56,30283.23,30403.97,30403.97,302490000
2020-12-24,30155.92,30209.67,30099.30,30199.87,30199.87,145570000
2020-12-23,30046.73,30292.53,30046.73,30129.83,30129.83,274050000
2020-12-22,30200.20,30200.20,29992.89,30015.51,30015.51,388810000
2020-12-21,30159.00,30304.14,29755.53,30216.45,30216.45,437480000
2020-12-18,30314.26,30343.59,30029.44,30179.05,30179.05,782070000
2020-12-17,30216.00,30323.78,30216.00,30303.37,30303.37,345530000
2020-12-16,30191.38,30236.03,30080.11,30154.54,30154.54,344590000
2020-12-15,29919.09,30243.26,29894.95,30199.31,30199.31,417770000
2020-12-14,30123.91,30325.79,29849.15,29861.55,29861.55,371980000
2020-12-11,29988.21,30071.13,29820.84,30046.37,30046.37,393870000
2020-12-10,30032.55,30063.87,29876.82,29999.26,29999.26,325550000
2020-12-09,30229.81,30319.70,29951.85,30068.81,30068.81,380520000
2020-12-08,29997.95,30246.22,29972.07,30173.88,30173.88,311190000
2020-12-07,30233.03,30233.03,29967.22,30069.79,30069.79,365810000
2020-12-04,29989.56,30218.26,29989.56,30218.26,30218.26,356590000
2020-12-03,29920.83,30110.88,29877.27,29969.52,29969.52,405680000
2020-12-02,29695.09,29902.51,29599.29,29883.79,29883.79,385280000
2020-12-01,29797.50,30083.31,29797.50,29823.92,29823.92,429510000
2020-11-30,29854.51,29854.51,29463.64,29638.64,29638.64,551350000
2020-11-27,29911.33,30015.13,29819.98,29910.37,29910.37,177040000
2020-11-25,30058.87,30058.87,29806.25,29872.47,29872.47,323030000
2020-11-24,29746.11,30116.51,29746.11,30046.24,30046.24,432760000
2020-11-23,29332.82,29667.75,29332.82,29591.27,29591.27,387200000
2020-11-20,29437.57,29469.89,29231.20,29263.48,29263.48,305350000
2020-11-19,29370.92,29524.90,29228.38,29483.23,29483.23,331330000
2020-11-18,29875.40,29930.85,29432.84,29438.42,29438.42,382850000
2020-11-17,29800.15,29872.42,29520.29,29783.35,29783.35,372380000
2020-11-16,29672.36,29964.29,29672.36,29950.44,29950.44,418290000
2020-11-13,29203.90,29559.25,29203.90,29479.81,29479.81,348810000
2020-11-12,29231.91,29311.83,28902.13,29080.17,29080.17,369320000
2020-11-11,29524.35,29593.11,29281.22,29397.63,29397.63,376700000
2020-11-10,29254.17,29478.86,29126.99,29420.92,29420.92,526980000
2020-11-09,29467.90,29933.83,29130.66,29157.97,29157.97,673310000
2020-11-06,28399.13,28431.96,28189.50,28323.40,28323.40,326710000
2020-11-05,28083.37,28495.05,28083.37,28390.18,28390.18,390140000
2020-11-04,27512.83,28301.50,27512.83,27847.66,27847.66,447860000
2020-11-03,27138.69,27640.21,27138.69,27480.03,27480.03,350980000
2020-11-02,26691.28,27043.48,26691.28,26925.05,26925.05,379990000
2020-10-30,26572.27,26639.18,26143.77,26501.60,26501.60,504820000
2020-10-29,26480.98,26891.89,26290.78,26659.11,26659.11,419770000
2020-10-28,27102.14,27102.14,26497.39,26519.95,26519.95,496150000
2020-10-27,27651.18,27707.69,27457.96,27463.19,27463.19,366400000
2020-10-26,28185.82,28185.82,27370.16,27685.38,27685.38,404150000
2020-10-23,28409.65,28436.52,28149.82,28335.57,28335.57,347300000
2020-10-22,28197.42,28421.31,28040.18,28363.66,28363.66,330320000
2020-10-21,28270.66,28450.64,28196.39,28210.82,28210.82,299420000
2020-10-20,28245.85,28575.03,28243.04,28308.79,28308.79,350220000
2020-10-19,28633.55,28711.93,28139.40,28195.42,28195.42,358700000
2020-10-16,28570.72,28842.90,28570.72,28606.31,28606.31,356140000
2020-10-15,28323.40,28535.85,28181.54,28494.20,28494.20,328940000
2020-10-14,28731.30,28792.56,28461.73,28514.00,28514.00,370800000
2020-10-13,28764.95,28808.84,28604.35,28679.81,28679.81,526110000
2020-10-12,28671.12,28957.90,28659.67,28837.52,28837.52,493680000
2020-10-09,28533.61,28676.29,28440.63,28586.90,28586.90,324050000
2020-10-08,28348.86,28459.13,28265.56,28425.51,28425.51,314750000
2020-10-07,27971.36,28369.66,27971.36,28303.46,28303.46,328750000
2020-10-06,28214.24,28354.48,27728.03,27772.76,27772.76,435030000
2020-10-05,27825.42,28162.64,27825.42,28148.64,28148.64,318210000
2020-10-02,27536.39,27861.43,27382.94,27682.81,27682.81,392770000
2020-10-01,27940.63,28041.46,27669.26,27816.90,27816.90,373450000
2020-09-30,27514.64,28026.33,27511.06,27781.70,27781.70,452550000
2020-09-29,27560.24,27605.60,27338.09,27452.66,27452.66,303820000
2020-09-28,27362.14,27722.60,27362.14,27584.06,27584.06,401860000
2020-09-25,26694.51,27239.29,26635.38,27173.96,27173.96,388900000
2020-09-24,26716.09,27094.85,26537.01,26815.44,26815.44,447810000
2020-09-23,27413.60,27464.46,26716.12,26763.13,26763.13,459470000
2020-09-22,27170.34,27333.09,26989.93,27288.18,27288.18,420720000
2020-09-21,27484.71,27484.71,26715.15,27147.70,27147.70,523660000
2020-09-18,27864.87,27946.69,27487.97,27657.42,27657.42,698710000
2020-09-17,27834.18,28056.79,27647.93,27901.98,27901.98,437230000
2020-09-16,28031.69,28364.77,28021.67,28032.38,28032.38,416650000
2020-09-15,28139.76,28231.06,27931.45,27995.60,27995.60,414520000
2020-09-14,27718.74,28086.06,27718.74,27993.33,27993.33,380750000
2020-09-11,27613.86,27828.82,27448.15,27665.64,27665.64,435330000
2020-09-10,28022.51,28174.78,27447.08,27534.58,27534.58,442850000
2020-09-09,27711.71,28206.21,27704.54,27940.47,27940.47,460590000
2020-09-08,27925.23,27925.23,27464.90,27500.89,27500.89,580860000
2020-09-04,28341.05,28539.75,27664.68,28133.31,28133.31,694640000
2020-09-03,29090.70,29199.35,28074.76,28292.73,28292.73,650080000
2020-09-02,28736.79,29162.88,28713.53,29100.50,29100.50,539510000
2020-09-01,28439.61,28659.26,28290.72,28645.66,28645.66,423410000
2020-08-31,28643.66,28643.66,28363.55,28430.05,28430.05,517320000
2020-08-28,28601.29,28733.35,28487.98,28653.87,28653.87,369740000
2020-08-27,28384.07,28634.22,28363.93,28492.27,28492.27,404340000
2020-08-26,28257.88,28353.80,28153.91,28331.92,28331.92,327070000
2020-08-25,28347.42,28400.74,28094.57,28248.44,28248.44,338420000
2020-08-24,28077.58,28314.94,28041.75,28308.46,28308.46,383880000
2020-08-21,27758.13,27959.48,27686.78,27930.33,27930.33,372720000
2020-08-20,27622.68,27781.46,27526.25,27739.73,27739.73,304550000
2020-08-19,27811.26,27920.42,27647.67,27692.88,27692.88,311460000
2020-08-18,27853.48,27891.12,27668.79,27778.07,27778.07,276170000
2020-08-17,27970.05,27999.81,27816.40,27844.91,27844.91,286860000
2020-08-14,27828.93,27977.81,27759.39,27931.02,27931.02,275540000
2020-08-13,27922.51,27986.10,27789.78,27896.72,27896.72,360160000
2020-08-12,27860.24,28043.89,27843.32,27976.84,27976.84,340210000
2020-08-11,27961.64,28154.88,27624.51,27686.91,27686.91,428220000
