Date,Open,High,Low,Close*,Adj Close**,Volume
17-Jan-20,"3,323.66","3,329.88","3,318.86","3,329.62","3,329.62","3,698,170,000"
16-Jan-20,"3,302.97","3,317.11","3,302.82","3,316.81","3,316.81","3,535,080,000"
15-Jan-20,"3,282.27","3,298.66","3,280.69","3,289.29","3,289.29","3,716,840,000"
14-Jan-20,"3,285.35","3,294.25","3,277.19","3,283.15","3,283.15","3,665,130,000"
13-Jan-20,"3,271.13","3,288.13","3,268.43","3,288.13","3,288.13","3,456,380,000"
10-Jan-20,"3,281.81","3,282.99","3,260.86","3,265.35","3,265.35","3,212,970,000"
9-Jan-20,"3,266.03","3,275.58","3,263.67","3,274.70","3,274.70","3,638,390,000"
8-Jan-20,"3,238.59","3,267.07","3,236.67","3,253.05","3,253.05","3,720,890,000"
7-Jan-20,"3,241.86","3,244.91","3,232.43","3,237.18","3,237.18","3,420,380,000"
6-Jan-20,"3,217.55","3,246.84","3,214.64","3,246.28","3,246.28","3,674,070,000"
3-Jan-20,"3,226.36","3,246.15","3,222.34","3,234.85","3,234.85","3,461,290,000"
2-Jan-20,"3,244.67","3,258.14","3,235.53","3,257.85","3,257.85","3,458,250,000"
31-Dec-19,"3,215.18","3,231.72","3,212.03","3,230.78","3,230.78","2,893,810,000"
30-Dec-19,"3,240.09","3,240.92","3,216.57","3,221.29","3,221.29","3,013,290,000"
27-Dec-19,"3,247.23","3,247.93","3,234.37","3,240.02","3,240.02","2,428,670,000"
26-Dec-19,"3,227.20","3,240.08","3,227.20","3,239.91","3,239.91","2,160,680,000"
24-Dec-19,"3,225.45","3,226.43","3,220.51","3,223.38","3,223.38","1,296,540,000"
23-Dec-19,"3,226.05","3,227.78","3,222.30","3,224.01","3,224.01","3,060,610,000"
20-Dec-19,"3,223.33","3,225.65","3,216.03","3,221.22","3,221.22","6,454,270,000"
19-Dec-19,"3,192.32","3,205.48","3,192.32","3,205.37","3,205.37","3,720,450,000"
18-Dec-19,"3,195.21","3,198.48","3,191.14","3,191.14","3,191.14","4,014,080,000"
17-Dec-19,"3,195.40","3,198.22","3,191.03","3,192.52","3,192.52","3,837,540,000"
16-Dec-19,"3,183.63","3,197.71","3,183.63","3,191.45","3,191.45","4,051,790,000"
13-Dec-19,"3,166.65","3,182.68","3,156.51","3,168.80","3,168.80","3,736,870,000"
12-Dec-19,"3,141.23","3,176.28","3,138.47","3,168.57","3,168.57","3,990,690,000"
11-Dec-19,"3,135.75","3,143.98","3,133.21","3,141.63","3,141.63","3,252,540,000"
10-Dec-19,"3,135.36","3,142.12","3,126.09","3,132.52","3,132.52","3,343,790,000"
9-Dec-19,"3,141.86","3,148.87","3,135.46","3,135.96","3,135.96","3,345,990,000"
6-Dec-19,"3,134.62","3,150.60","3,134.62","3,145.91","3,145.91","3,479,480,000"
5-Dec-19,"3,119.21","3,119.45","3,103.76","3,117.43","3,117.43","3,355,750,000"
