Date,Open,High,Low,Close,Adj Close,Volume
2017-01-20,5556.87,5574.35,5542.23,5555.33,5555.33,1740320000
2017-01-23,5546.64,5564.14,5522.69,5552.94,5552.94,1650290000
2017-01-24,5568.27,5606.53,5558.49,5600.96,5600.96,1805370000
2017-01-25,5635.86,5658.59,5634.33,5656.34,5656.34,1959950000
2017-01-26,5666.28,5669.61,5647.65,5655.18,5655.18,1827490000
2017-01-27,5664.88,5667.45,5643.90,5660.78,5660.78,1663400000
2017-01-30,5635.86,5636.09,5578.76,5613.71,5613.71,1777090000
2017-01-31,5592.87,5615.15,5576.09,5614.79,5614.79,2041480000
2017-02-01,5654.51,5662.11,5621.03,5642.65,5642.65,2223560000
2017-02-02,5627.15,5656.01,5616.40,5636.20,5636.20,2073980000
2017-02-03,5650.73,5666.84,5647.58,5666.77,5666.77,1786860000
2017-02-06,5656.95,5668.20,5650.26,5663.55,5663.55,1732280000
2017-02-07,5674.86,5689.60,5664.82,5674.22,5674.22,1919100000
2017-02-08,5662.95,5686.96,5649.39,5682.45,5682.45,1945060000
2017-02-09,5688.02,5722.71,5685.15,5715.18,5715.18,1943840000
2017-02-10,5726.17,5743.43,5717.42,5734.13,5734.13,1852010000
2017-02-13,5753.19,5770.99,5751.92,5763.96,5763.96,1840010000
2017-02-14,5756.51,5783.09,5748.74,5782.57,5782.57,1945160000
2017-02-15,5777.90,5821.95,5776.70,5819.44,5819.44,2083660000
2017-02-16,5823.01,5835.15,5796.71,5814.90,5814.90,1943600000
2017-02-17,5807.31,5838.58,5800.80,5838.58,5838.58,1875580000
2017-02-21,5850.20,5867.89,5847.50,5865.95,5865.95,1935110000
2017-02-22,5857.56,5864.42,5848.28,5860.63,5860.63,1872330000
2017-02-23,5866.82,5866.96,5809.55,5835.51,5835.51,1879670000
2017-02-24,5802.33,5845.31,5800.55,5845.31,5845.31,1683280000
2017-02-27,5835.04,5861.90,5827.00,5861.90,5861.90,1876090000
2017-02-28,5852.79,5855.07,5817.22,5825.44,5825.44,2298380000
2017-03-01,5874.86,5911.79,5865.79,5904.03,5904.03,2210360000
2017-03-02,5897.01,5897.01,5856.30,5861.22,5861.22,2040770000
2017-03-03,5854.27,5870.75,5841.47,5870.75,5870.75,1852130000
2017-03-06,5846.42,5857.74,5827.46,5849.18,5849.18,1767840000
2017-03-07,5836.12,5859.77,5826.32,5833.93,5833.93,1822000000
2017-03-08,5838.44,5860.63,5832.63,5837.55,5837.55,1810480000
2017-03-09,5834.67,5852.54,5812.08,5838.81,5838.81,1883930000
2017-03-10,5867.16,5872.60,5835.44,5861.73,5861.73,1982150000
2017-03-13,5863.48,5877.43,5860.83,5875.78,5875.78,1799340000
2017-03-14,5860.07,5860.50,5831.88,5856.82,5856.82,1663170000
2017-03-15,5869.98,5911.20,5858.16,5900.05,5900.05,1952690000
2017-03-16,5907.86,5911.48,5887.24,5900.76,5900.76,1766980000
2017-03-17,5898.58,5912.61,5890.42,5901.00,5901.00,3184130000
2017-03-20,5898.81,5915.12,5888.12,5901.53,5901.53,1730550000
2017-03-21,5923.42,5928.06,5790.73,5793.83,5793.83,2192090000
2017-03-22,5790.59,5825.67,5781.80,5821.64,5821.64,1857680000
2017-03-23,5812.31,5842.82,5806.98,5817.69,5817.69,1742640000
2017-03-24,5839.33,5858.95,5807.83,5828.74,5828.74,1841920000
2017-03-27,5776.33,5849.20,5769.39,5840.37,5840.37,1670760000
2017-03-28,5836.50,5888.70,5828.86,5875.14,5875.14,1820860000
2017-03-29,5875.35,5900.87,5870.93,5897.55,5897.55,1718680000
2017-03-30,5896.15,5916.77,5894.00,5914.34,5914.34,1723770000
2017-03-31,5905.63,5927.81,5901.77,5911.74,5911.74,1902800000
2017-04-03,5917.32,5928.93,5867.73,5894.68,5894.68,1854200000
2017-04-04,5878.76,5901.39,5878.76,5898.61,5898.61,1790840000
2017-04-05,5911.92,5936.39,5856.26,5864.48,5864.48,2204490000
2017-04-06,5870.52,5889.58,5856.22,5878.95,5878.95,1845800000
2017-04-07,5873.94,5892.07,5855.51,5877.81,5877.81,1692150000
2017-04-10,5883.43,5907.85,5865.56,5880.93,5880.93,1630070000
2017-04-11,5871.16,5878.94,5819.29,5866.77,5866.77,1821650000
2017-04-12,5863.59,5868.09,5830.44,5836.16,5836.16,1658960000
2017-04-13,5828.37,5856.54,5805.15,5805.15,5805.15,1581870000
2017-04-17,5821.55,5856.79,5818.20,5856.79,5856.79,1381290000
2017-04-18,5838.59,5860.04,5828.57,5849.47,5849.47,1608870000
2017-04-19,5874.43,5894.68,5856.34,5863.03,5863.03,1752620000
2017-04-20,5887.87,5926.23,5880.20,5916.78,5916.78,1749110000
2017-04-21,5919.02,5919.23,5899.43,5910.52,5910.52,1723210000
2017-04-24,5979.96,5989.92,5970.25,5983.82,5983.82,1836570000
2017-04-25,6004.16,6036.02,6002.65,6025.49,6025.49,1895430000
2017-04-26,6028.12,6040.89,6021.72,6025.23,6025.23,1894210000
2017-04-27,6038.47,6050.70,6031.59,6048.94,6048.94,1876700000
2017-04-28,6072.87,6074.04,6040.71,6047.61,6047.61,1995160000
2017-05-01,6067.56,6100.73,6061.35,6091.60,6091.60,1757000000
2017-05-02,6102.51,6102.72,6081.56,6095.37,6095.37,2146730000
2017-05-03,6075.04,6076.96,6053.28,6072.55,6072.55,2149360000
2017-05-04,6075.06,6080.82,6054.33,6075.34,6075.34,2056270000
2017-05-05,6091.69,6100.76,6067.16,6100.76,6100.76,1899570000
2017-05-08,6100.66,6106.12,6083.06,6102.66,6102.66,1909710000
2017-05-09,6111.82,6133.00,6107.59,6120.59,6120.59,1997490000
2017-05-10,6121.64,6131.64,6103.87,6129.14,6129.14,2108000000
2017-05-11,6110.05,6120.20,6075.68,6115.96,6115.96,1950910000
2017-05-12,6119.27,6122.84,6105.42,6121.23,6121.23,1740960000
2017-05-15,6128.11,6153.04,6124.79,6149.67,6149.67,1850790000
2017-05-16,6160.52,6170.16,6139.10,6169.87,6169.87,1999330000
2017-05-17,6108.62,6122.87,6009.48,6011.24,6011.24,2347480000
2017-05-18,5998.46,6073.45,5996.81,6055.13,6055.13,2131520000
